# Performance Monitoring Events for Intel Atom Processors Based on the Goldmont Microarchitecture - V8
# 8/16/2016 1:31:03 PM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
BitName	BitIndex	Type	MATRIX_REG	BitsNotCombinedWith
DEMAND_DATA_RD	0	1	0,1	Null
DEMAND_RFO	1	1	0,1	Null
DEMAND_CODE_RD	2	1	0,1	Null
COREWB	3	1	0	Null
PF_L2_DATA_RD	4	1	0,1	Null
PF_L2_RFO	5	1	0,1	Null
PARTIAL_READS	7	1	0,1	Null
PARTIAL_WRITES	8	1	0,1	Null
UC_CODE_READS	9	1	0,1	Null
BUS_LOCKS	10	1	0,1	Null
FULL_STREAMING_STORES	11	1	0,1	Null
SW_PREFETCH	12	1	0,1	Null
PF_L1_DATA_RD	13	1	0,1	Null
PARTIAL_STREAMING_STORES	14	1	0,1	Null
STREAMING_STORES	11,14	1	0,1	Null
ANY_REQUEST	15	1	0,1	Null
ANY_PF_DATA_RD	4,12,13	1	0,1	Null
ANY_DATA_RD	0,4,12,13	1	0,1	Null
ANY_RFO	1,5	1	0,1	Null
ANY_READ	0,1,2,4,5,7,9,12,13	1	0,1	Null
ANY_RESPONSE	16	2	0,1	Null
L2_HIT	18	2	0,1	Null
L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	33	2	0,1	Null
L2_MISS.HIT_OTHER_CORE_NO_FWD	34	2	0,1	Null
L2_MISS.HITM_OTHER_CORE	36	2	0,1	Null
L2_MISS.NON_DRAM	37	2	0,1	Null
L2_MISS.ANY	33,34,36,37	2	0,1	Null
OUTSTANDING	38	2	0	Null
